iter	Passed	Remaining
621	12431	7554
622	12446	7531
623	12466	7512
624	12489	7493
625	12511	7474
626	12532	7455
627	12554	7436
628	12575	7417
629	12595	7397
630	12604	7371
631	12625	7351
632	12647	7332
633	12666	7312
634	12686	7292
635	12706	7272
636	12726	7252
637	12746	7232
638	12770	7214
639	12793	7196
640	12823	7181
641	12847	7164
642	12869	7145
643	12895	7128
644	12919	7110
645	12943	7093
646	12966	7074
647	12993	7058
648	13019	7041
649	13043	7023
650	13069	7006
651	13093	6988
652	13122	6973
653	13146	6955
654	13171	6937
655	13203	6923
656	13246	6915
657	13282	6903
658	13305	6884
659	13329	6866
660	13355	6849
661	13381	6832
662	13403	6812
663	13426	6793
664	13452	6776
665	13476	6758
666	13502	6741
667	13543	6730
668	13568	6713
669	13593	6695
670	13632	6683
671	13660	6667
672	13685	6649
673	13718	6635
674	13741	6616
675	13763	6596
676	13784	6576
677	13805	6556
678	13826	6536
679	13848	6516
680	13869	6496
681	13890	6476
682	13908	6455
683	13930	6435
684	13949	6414
685	13968	6393
686	13991	6374
687	14010	6353
688	14028	6331
689	14045	6310
690	14065	6289
691	14086	6269
692	14105	6248
693	14125	6228
694	14143	6206
695	14159	6184
696	14176	6162
697	14195	6141
698	14212	6119
699	14231	6099
700	14250	6078
701	14269	6057
702	14287	6036
703	14305	6014
704	14323	5993
705	14343	5973
706	14362	5952
707	14381	5931
708	14401	5910
709	14424	5891
710	14444	5871
711	14467	5851
712	14507	5839
713	14534	5821
714	14554	5801
715	14573	5780
716	14589	5758
717	14604	5736
718	14619	5713
719	14639	5693
720	14660	5672
721	14678	5651
722	14695	5630
723	14715	5609
724	14733	5588
725	14751	5567
726	14775	5548
727	14793	5527
728	14811	5506
729	14829	5484
730	14852	5465
731	14869	5443
732	14888	5423
733	14908	5402
734	14928	5382
735	14947	5361
736	14966	5340
737	14986	5320
738	15012	5302
739	15035	5282
740	15056	5262
741	15076	5242
742	15097	5222
743	15117	5201
744	15138	5181
745	15157	5161
746	15178	5140
747	15196	5119
748	15236	5106
749	15259	5086
750	15277	5065
751	15296	5044
752	15313	5023
753	15332	5002
754	15349	4980
755	15367	4959
756	15385	4938
757	15405	4918
758	15426	4898
759	15448	4878
760	15468	4857
761	15493	4839
762	15516	4819
763	15540	4800
