iter	Passed	Remaining
545	14846	25941
546	14897	25955
547	14924	25927
548	14965	25923
549	14995	25900
550	15026	25881
551	15049	25845
552	15073	25813
553	15097	25780
554	15141	25781
555	15181	25775
556	15213	25756
557	15241	25731
558	15270	25705
559	15295	25674
560	15318	25640
561	15342	25607
562	15365	25572
563	15389	25540
564	15411	25504
565	15432	25465
566	15455	25432
567	15477	25396
568	15503	25366
569	15526	25333
570	15549	25299
571	15569	25260
572	15590	25222
573	15622	25202
574	15654	25183
575	15691	25171
576	15727	25158
577	15769	25154
578	15812	25152
579	15845	25134
580	15888	25131
581	15914	25102
582	15941	25075
583	15968	25047
584	15993	25015
585	16019	24986
586	16047	24959
587	16085	24948
588	16118	24929
589	16158	24922
590	16193	24907
591	16230	24893
592	16264	24877
593	16302	24865
594	16340	24853
595	16379	24843
596	16417	24833
597	16458	24825
598	16501	24821
599	16544	24816
600	16579	24800
601	16603	24767
602	16627	24735
603	16650	24700
604	16676	24669
605	16708	24649
606	16745	24635
607	16778	24616
608	16806	24588
609	16863	24604
610	16909	24603
611	16945	24587
612	16967	24551
613	16993	24521
614	17018	24489
615	17046	24462
616	17078	24441
617	17103	24409
618	17134	24386
619	17164	24362
620	17193	24336
621	17217	24303
622	17242	24272
623	17267	24240
624	17314	24239
625	17345	24217
626	17376	24193
627	17401	24162
628	17427	24132
629	17452	24101
630	17479	24072
631	17506	24043
632	17536	24019
633	17563	23990
634	17586	23956
635	17612	23926
636	17641	23899
637	17671	23875
638	17697	23846
639	17724	23817
640	17752	23790
641	17780	23762
642	17808	23735
643	17833	23704
644	17861	23677
645	17885	23644
646	17908	23610
647	17930	23575
648	17952	23540
649	17975	23506
650	17999	23474
651	18024	23442
652	18048	23410
653	18072	23378
654	18099	23350
655	18122	23315
656	18143	23280
657	18165	23245
658	18186	23209
659	18207	23173
660	18229	23138
661	18251	23103
662	18271	23067
663	18292	23031
664	18318	23001
665	18343	22970
666	18368	22940
667	18392	22908
668	18419	22879
669	18444	22848
670	18466	22814
671	18488	22780
672	18510	22745
673	18534	22714
674	18557	22681
675	18583	22651
676	18603	22615
677	18627	22584
678	18650	22550
679	18672	22516
680	18694	22483
681	18719	22452
682	18752	22431
683	18784	22409
684	18819	22391
685	18855	22373
686	18887	22351
687	18914	22323
688	18940	22294
689	18963	22261
690	18988	22230
691	19011	22198
692	19033	22164
693	19057	22132
694	19080	22100
695	19102	22066
696	19127	22036
697	19151	22004
698	19176	21974
699	19198	21941
700	19220	21907
701	19245	21877
702	19273	21851
703	19295	21817
704	19321	21788
705	19348	21760
706	19374	21731
707	19396	21697
708	19418	21664
709	19440	21630
710	19462	21597
711	19484	21563
712	19505	21530
713	19531	21500
714	19552	21466
715	19575	21434
716	19596	21400
717	19617	21366
718	19638	21331
719	19659	21297
720	19682	21265
721	19705	21233
722	19732	21206
723	19752	21171
724	19779	21143
725	19800	21109
726	19830	21085
727	19856	21056
728	19880	21025
729	19903	20994
730	19928	20964
731	19948	20929
732	19971	20897
733	19996	20868
734	20019	20836
735	20040	20802
736	20061	20769
737	20081	20734
738	20108	20707
739	20129	20673
740	20151	20640
741	20173	20608
742	20195	20576
743	20221	20548
744	20242	20513
745	20264	20481
746	20287	20450
747	20311	20420
748	20338	20392
749	20359	20359
750	20380	20326
751	20403	20294
752	20425	20262
753	20448	20231
754	20471	20200
755	20493	20168
756	20520	20140
757	20542	20108
758	20565	20077
759	20592	20050
760	20624	20027
761	20649	19999
762	20673	19968
763	20699	19940
764	20723	19911
765	20751	19885
766	20773	19852
767	20794	19820
768	20818	19789
769	20852	19769
770	20874	19737
771	20897	19706
772	20926	19680
773	20955	19655
774	20978	19625
775	21000	19593
776	21021	19560
777	21043	19528
778	21065	19497
779	21086	19464
780	21111	19435
781	21131	19402
782	21152	19369
783	21177	19340
784	21205	19314
785	21226	19282
786	21248	19250
787	21270	19218
788	21292	19187
789	21313	19155
790	21334	19122
791	21357	19092
792	21379	19060
793	21402	19030
794	21424	18999
795	21445	18967
796	21467	18935
797	21489	18904
798	21512	18873
799	21534	18842
800	21560	18815
801	21582	18783
802	21604	18752
803	21626	18721
804	21647	18689
805	21669	18658
806	21692	18628
807	21713	18596
808	21733	18563
809	21755	18532
810	21777	18501
811	21799	18470
812	21819	18437
813	21840	18406
814	21860	18373
815	21881	18341
816	21901	18309
817	21924	18279
818	21945	18247
819	21964	18214
820	21984	18181
821	22006	18150
822	22031	18123
823	22054	18093
824	22074	18061
825	22095	18029
826	22124	18004
827	22161	17986
828	22191	17961
829	22215	17932
830	22239	17904
831	22282	17890
832	22310	17864
833	22362	17857
834	22405	17843
835	22430	17815
836	22454	17786
837	22481	17759
838	22509	17733
839	22536	17707
840	22558	17676
841	22580	17646
842	22604	17617
843	22628	17588
844	22655	17561
845	22678	17531
846	22703	17503
847	22725	17472
848	22749	17444
849	22772	17414
850	22793	17383
851	22816	17353
852	22840	17324
853	22866	17297
854	22896	17273
855	22934	17254
856	22968	17233
857	23003	17212
858	23039	17192
859	23075	17172
860	23109	17151
861	23142	17128
862	23173	17104
863	23206	17082
864	23240	17060
865	23277	17041
866	23312	17020
867	23345	16998
868	23372	16971
869	23399	16944
870	23424	16916
871	23449	16887
872	23473	16858
873	23500	16832
874	23526	16804
875	23560	16782
876	23585	16754
877	23611	16727
878	23637	16699
879	23666	16674
880	23692	16646
881	23719	16620
882	23749	16594
883	23774	16567
884	23798	16537
885	23820	16507
886	23843	16478
887	23865	16447
888	23886	16416
889	23910	16387
890	23933	16358
891	23958	16330
892	23983	16302
893	24008	16274
894	24033	16246
895	24062	16220
896	24088	16193
897	24112	16164
898	24140	16138
899	24164	16109
900	24187	16079
901	24210	16050
902	24231	16020
903	24254	15991
904	24278	15962
905	24299	15931
906	24321	15901
